Unautomatable,category
adapt,perception and manipulation
advise,social intelligence
assess,perception and manipulation
assist,perception and manipulation
attend,social intelligence
coach,social intelligence
collaborate,social intelligence
confer,social intelligence
consult,social intelligence
coordinate,perception and manipulation
counsel,social intelligence
critique,creativity
dance,creativity
decorate,creativity
define,creativity
design,creativity
develop,creativity
discuss,social intelligence
draft,creativity
draw,creativity
encourage,social intelligence
ensure,social intelligence
evaluate,perception and manipulation
facilitate,social intelligence
help,perception and manipulation
improve,perception and manipulation
interview,social intelligence
invent,creativity
learn,social intelligence
meet,social intelligence
negotiate,social intelligence
organize,social intelligence
participate,social intelligence
perform,creativity
persuade,social intelligence
plan,social intelligence
resolve,social intelligence
supervise,social intelligence
teach,social intelligence
train,social intelligence
understand,social intelligence
write,creativity
